x,y,z_min,z_max,attribute
928.747258267156,429.7552862649595,114.81848376829055,125.8375627450969,clay
928.747258267156,429.7552862649595,91.75603707173701,114.81848376829055,silt
928.747258267156,429.7552862649595,57.18285225216066,91.75603707173701,sand
526.6541277024628,685.2893068656069,98.01577153584319,114.1351562170391,clay
526.6541277024628,685.2893068656069,71.26422384978036,98.01577153584319,silt
526.6541277024628,685.2893068656069,45.16175346242629,71.26422384978036,sand
1030.317503893659,812.9950847676478,115.63657245207112,123.41864835958279,clay
1030.317503893659,812.9950847676478,95.03283735318448,115.63657245207112,silt
1030.317503893659,812.9950847676478,55.986877646513655,95.03283735318448,sand
836.8416348712367,648.6263520465164,112.35521415739832,126.5855258201729,clay
836.8416348712367,648.6263520465164,92.86559745930901,112.35521415739832,silt
836.8416348712367,648.6263520465164,59.99138180959459,92.86559745930901,sand
113.01281746517944,866.8901011944416,105.2618615910734,120.26145702096754,clay
113.01281746517944,866.8901011944416,82.45722692264124,105.2618615910734,silt
113.01281746517944,866.8901011944416,56.87966716225166,82.45722692264124,sand
1170.746821964107,703.8046536643595,113.07401359013605,125.67846805806953,clay
1170.746821964107,703.8046536643595,95.57482930169081,113.07401359013605,silt
1170.746821964107,703.8046536643595,62.725148690551535,95.57482930169081,sand
913.3676423884235,780.1212944357338,111.79744688055872,122.43897429255097,clay
913.3676423884235,780.1212944357338,94.17120219376173,111.79744688055872,silt
913.3676423884235,780.1212944357338,56.10981309769397,94.17120219376173,sand
943.2771663323446,102.69366406527347,97.32448498673546,111.18682346164266,clay
943.2771663323446,102.69366406527347,81.51483655542691,97.32448498673546,silt
943.2771663323446,102.69366406527347,48.92867551970048,81.51483655542691,sand
153.73635921065505,659.172152694409,100.07291343171562,114.34870384307604,clay
153.73635921065505,659.172152694409,75.3633421547017,100.07291343171562,silt
153.73635921065505,659.172152694409,53.169418934793455,75.3633421547017,sand
540.4631254746805,396.07982957463173,96.35960568576604,115.67599700368123,clay
540.4631254746805,396.07982957463173,70.38225253885086,96.35960568576604,silt
540.4631254746805,396.07982957463173,38.970752715821604,70.38225253885086,sand
444.9576290790975,497.79342217014766,92.94209053658878,111.58095201022722,clay
444.9576290790975,497.79342217014766,69.71347098820632,92.94209053658878,silt
444.9576290790975,497.79342217014766,38.58977621768449,69.71347098820632,sand
